miRNA	DSC_27_23_EKB_20250506_1	DSC_27_23_EKB_20250506_2	DSC_28_23_EKB_20250502_1	DSC_28_23_EKB_20250502_2	DSC_29_23_EKB_20250502_1	DSC_29_23_EKB_20250502_2	DSC_30_23_EKB_20250506_1	DSC_30_23_EKB_20250506_2	DSC_31_23_EKB_20250506_1	DSC_31_23_EKB_20250506_2	DSC_32_23_EKB_20250507_1	DSC_32_23_EKB_20250507_2	Melanocytes_27_23_EKB_20250502_1	Melanocytes_27_23_EKB_20250502_2	Melanocytes_29_23_EKB_20250506_1	Melanocytes_29_23_EKB_20250506_2	Melanocytes_30_23_EKB_20250502_1	Melanocytes_30_23_EKB_20250502_2	Melanocytes_31_23_EKB_20250507_1	Melanocytes_31_23_EKB_20250507_2	Melanocytes_32_23_EKB_20250507_1	Melanocytes_32_23_EKB_20250507_2
hsa-miR-761	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	1	1	2	2	0
hsa-miR-6516-5p	5	4	10	5	14	8	14	9	16	23	20	10	7	9	8	13	11	3	29	18	13	31
hsa-miR-223-5p	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
hsa-miR-5702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-30e-3p	499	690	1549	980	1748	886	1132	889	2190	1830	1138	1464	524	1160	846	847	514	576	1296	845	1624	1609
hsa-miR-361-5p	3992	5448	13914	11130	16371	10262	12688	9679	20179	20582	10602	14569	1420	3651	4744	5658	3354	3791	5816	3492	13864	12601
hsa-miR-4654	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4636	3	1	1	0	1	0	3	7	5	2	1	3	15	61	67	74	56	65	91	64	135	175
hsa-miR-3670	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	5	1	4	1
hsa-miR-584-3p	13	2	4	1	6	7	4	8	7	6	4	5	0	5	1	0	0	1	9	4	5	1
hsa-miR-3613-3p	177	67	139	58	263	128	124	114	292	168	137	166	21	35	42	57	37	24	50	27	99	76
hsa-miR-3689f	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-659-3p	0	1	0	2	4	0	1	3	1	2	3	2	0	0	5	1	0	0	0	0	2	1
hsa-miR-3945	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0
hsa-miR-7154-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-3689a-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	2	0	0	0
hsa-miR-3679-5p	1	3	6	4	5	2	1	3	5	7	2	2	0	1	0	0	1	4	0	4	3	9
hsa-miR-619-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0
hsa-miR-4782-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2
hsa-miR-6849-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0
hsa-miR-655-3p	213	145	333	184	454	216	297	304	468	201	320	279	0	0	0	0	2	0	0	0	2	0
hsa-miR-939-3p	1	1	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	1	0	1	0
hsa-miR-5683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0
hsa-miR-12116	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	5	0	1	13
hsa-miR-6748-3p	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-7855-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0
hsa-miR-1322	1	0	1	2	2	5	2	1	4	3	0	0	0	6	0	2	0	0	2	0	1	3
hsa-miR-653-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
hsa-miR-4511	0	2	2	3	0	1	0	1	1	1	0	1	0	1	0	2	0	0	3	0	0	0
hsa-miR-2052	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	3	1	1	0	0	0	0
hsa-miR-3682-3p	0	0	2	4	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6728-5p	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	3	0	0	0
hsa-miR-4657	0	0	3	0	1	0	0	0	0	2	1	0	0	4	1	0	0	1	9	0	0	0
hsa-miR-3171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-450a-5p	4903	8091	12758	9464	13591	7610	14441	12063	12132	12187	6406	8207	443	1061	868	988	498	573	1833	856	1452	1514
hsa-miR-1265	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
hsa-miR-1-3p	45	28	130	88	117	54	58	69	198	157	69	63	5	2	0	2	2	1	7	3	4	2
hsa-miR-4288	0	0	0	0	0	0	0	0	1	1	1	0	0	3	0	3	3	0	2	0	3	0
hsa-miR-105-3p	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8061	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0
hsa-miR-5701	166	52	110	51	34	59	58	71	160	94	65	41	32	76	96	108	47	71	159	60	67	31
hsa-miR-4760-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-8070	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548a-5p	13	19	55	47	91	51	44	33	27	28	45	67	6	22	45	69	17	31	19	18	56	62
hsa-miR-6857-5p	0	0	0	0	2	0	0	0	1	0	0	1	0	3	0	0	0	0	1	0	0	0
hsa-miR-8052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
hsa-miR-29c-5p	25	22	47	31	66	40	54	47	68	48	28	48	3	4	5	8	7	2	12	5	8	8
hsa-miR-4444	0	0	3	0	2	0	1	2	3	0	0	0	0	0	1	0	1	0	0	0	3	3
hsa-miR-876-5p	6	1	0	0	5	1	0	0	4	5	4	3	4	2	1	5	0	0	3	0	0	0
hsa-miR-219b-3p	1	6	0	2	6	1	3	6	4	7	2	8	0	0	7	1	3	0	2	2	8	6
hsa-miR-2113	0	2	0	1	0	0	0	2	4	0	0	0	0	1	0	0	2	0	4	1	0	0
hsa-miR-153-5p	1	0	0	0	0	0	0	2	0	0	1	1	2	5	0	0	0	3	3	0	1	0
hsa-miR-6079	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6838-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-3690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	1	0
hsa-miR-5001-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
hsa-miR-8058	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-3144-5p	0	0	0	0	0	0	0	0	0	1	0	0	2	0	3	4	0	0	0	0	0	0
hsa-miR-602	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-4689	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-6733-5p	0	0	1	0	2	0	2	0	0	2	0	1	0	3	0	0	0	0	1	1	2	1
hsa-miR-320c	4	4	5	5	9	8	10	9	21	20	8	5	0	2	2	1	1	0	9	5	1	2
hsa-miR-3619-3p	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-5091	0	1	6	0	4	0	1	3	3	2	3	3	0	0	0	2	0	0	2	0	3	2
hsa-miR-1270	0	3	4	3	4	0	4	5	3	4	1	4	0	4	0	5	2	4	6	7	8	2
hsa-miR-6785-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0
hsa-miR-4515	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	2	0	0	0	0
hsa-miR-6789-5p	0	0	2	1	1	0	1	0	0	1	0	0	7	3	0	1	0	3	2	0	0	0
hsa-miR-4769-5p	1	1	0	0	3	0	0	0	1	1	1	1	1	0	0	1	0	0	1	0	1	0
hsa-miR-608	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0
hsa-miR-4450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	1	0
hsa-miR-409-3p	2086	2476	5431	4030	7704	4586	5080	4595	4995	5228	3627	5250	0	0	19	18	0	5	3	0	11	20
hsa-miR-652-3p	864	1219	2425	1740	3708	2471	2205	1824	5715	5049	2944	3730	577	1179	1229	1543	1000	1111	2366	1145	4106	3211
hsa-miR-1227-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3151-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-6747-3p	0	2	0	3	0	0	0	2	0	1	1	1	0	3	0	0	0	0	0	2	0	0
hsa-miR-8072	0	1	0	5	0	0	0	1	4	0	1	3	0	0	0	0	0	0	2	0	0	0
hsa-miR-1207-5p	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	3	1	0	0	0	0
hsa-miR-1228-5p	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0
hsa-miR-3180	0	1	3	1	4	1	6	3	3	2	1	0	0	3	2	3	2	1	5	7	9	11
hsa-miR-1908-5p	10	15	16	35	28	27	27	17	38	55	10	26	10	15	27	16	13	20	28	30	167	75
hsa-miR-762	0	0	1	0	0	2	2	3	1	6	2	0	1	0	1	0	0	0	2	0	0	3
hsa-miR-4291	0	2	0	0	0	0	3	0	0	6	0	1	0	6	0	0	0	0	0	0	0	0
hsa-miR-2110	41	59	114	123	317	141	104	121	195	186	110	165	27	71	114	72	35	53	114	79	205	172
hsa-miR-3115	0	1	8	0	2	0	1	2	7	6	2	6	3	0	6	9	0	8	12	1	12	5
hsa-miR-656-3p	209	172	370	214	395	241	266	212	448	226	254	231	0	0	0	1	0	1	2	0	0	2
hsa-miR-6892-5p	0	0	0	0	0	3	0	4	4	2	1	2	0	2	0	3	0	0	3	0	3	0
hsa-miR-598-5p	0	0	2	0	4	4	0	2	1	1	1	0	0	4	0	1	1	0	0	4	1	0
hsa-miR-4520-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1
hsa-miR-1302	1	0	0	0	6	1	2	4	3	1	2	5	0	0	3	0	0	0	1	1	3	2
hsa-miR-1306-3p	7	5	25	18	31	32	19	11	24	41	8	29	2	17	4	16	14	13	22	17	41	52
hsa-miR-3913-5p	12	17	37	25	56	23	34	25	66	62	25	40	5	20	6	23	8	3	24	15	17	20
hsa-miR-4529-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-6848-5p	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	1	0
hsa-miR-6766-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
hsa-miR-505-5p	29	47	66	59	101	65	64	46	108	73	50	68	14	64	50	40	21	35	69	29	77	84
hsa-miR-6833-5p	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-135a-2-3p	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	1	0	0	0
hsa-miR-6511b-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3134	1	0	4	0	0	1	0	0	0	0	2	0	0	0	7	0	0	0	3	4	2	3
hsa-miR-12130	6	0	3	1	2	0	0	2	6	4	1	1	0	1	0	0	0	1	1	0	1	0
hsa-miR-5004-3p	0	0	1	0	1	0	2	0	1	1	0	1	0	0	0	1	0	1	1	0	4	0
hsa-miR-4470	0	0	0	1	1	1	5	2	5	2	1	1	0	1	3	0	1	0	1	1	0	0
hsa-miR-3128	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0
hsa-miR-6796-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0
hsa-miR-6511a-5p	0	0	3	2	10	2	5	2	5	0	7	2	1	3	1	2	6	8	7	2	17	12
hsa-miR-6860	0	0	0	0	0	0	0	0	2	1	1	0	2	0	0	0	0	0	2	0	0	0
hsa-miR-1207-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6827-5p	2	0	0	0	7	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0
hsa-miR-3118	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-6499-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-6773-5p	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	3	0	1	3	1	0
hsa-miR-6840-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3
hsa-miR-4726-5p	0	0	1	0	1	2	2	3	5	8	1	1	0	3	1	3	0	0	1	1	0	0
hsa-miR-4741	0	0	0	1	1	0	1	0	0	2	0	0	0	0	1	0	1	0	1	0	0	0
hsa-miR-4649-5p	0	1	0	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	0
hsa-miR-6090	0	0	0	0	0	0	0	3	0	1	0	0	0	2	1	0	0	0	0	0	0	0
hsa-miR-139-3p	0	0	4	0	0	1	0	3	1	0	0	0	0	0	3	0	0	0	0	0	0	2
hsa-miR-4783-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6889-5p	0	0	3	0	1	1	2	5	2	1	1	1	0	0	0	0	0	0	1	0	0	3
hsa-miR-615-5p	0	2	0	4	6	3	4	3	3	2	3	7	0	0	0	0	0	1	2	2	1	2
hsa-miR-664a-5p	17	28	49	29	69	44	58	63	127	95	66	61	18	31	25	30	15	15	73	59	41	45
hsa-miR-621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3620-5p	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-548q	3	2	19	5	21	12	16	17	29	29	20	15	7	4	3	8	6	9	10	5	9	19
hsa-miR-11400	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	4	0	0	2	1	0	0
hsa-miR-5572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6131	15	27	51	27	38	42	36	29	66	70	47	44	0	7	8	24	6	3	22	12	17	62
hsa-miR-5011-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4685-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6783-3p	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
hsa-miR-610	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	0	1	0	0	0
hsa-miR-4655-3p	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-675-5p	1	0	3	2	3	0	0	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6825-5p	0	0	1	1	0	0	0	1	2	1	0	0	0	2	0	0	4	0	0	0	1	1
hsa-miR-6751-5p	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0
hsa-miR-670-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0
hsa-miR-553	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
hsa-miR-203a-3p	20	5	15	18	17	0	10	13	23	13	8	3	0	0	2	8	0	5	33	11	7	6
hsa-miR-6807-5p	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	2	0	2	0	0	0
hsa-miR-6804-5p	0	2	0	1	0	0	0	0	0	1	1	0	0	2	1	1	0	0	1	0	5	1
hsa-miR-3606-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4510	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	4	1	0	0
hsa-miR-1236-5p	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3650	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	2	2	0	0	0	0
hsa-miR-1227-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
hsa-miR-6803-5p	1	0	1	2	6	3	3	0	4	3	5	2	0	0	0	2	0	0	0	0	1	1
hsa-miR-4491	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	6	0	0	0	0
hsa-miR-6730-5p	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-616-3p	2	5	20	3	14	6	7	12	13	12	6	3	7	13	16	12	0	4	9	8	28	11
hsa-miR-4648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8056	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	2	5	1	3	2
hsa-miR-92a-2-5p	19	32	73	61	130	35	61	45	30	47	26	46	7	16	15	6	11	8	27	11	20	7
hsa-miR-3681-5p	8	11	27	19	15	5	15	5	8	11	11	11	0	1	0	0	0	0	0	0	0	7
hsa-miR-33b-5p	9	5	9	1	16	11	5	14	13	6	7	10	2	12	17	5	2	1	24	18	12	14
hsa-miR-376a-2-5p	25	16	18	8	24	14	15	23	20	15	15	17	0	0	0	0	0	0	0	0	0	0
hsa-miR-6863	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-6821-5p	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	1	0	3	0	0	1
hsa-miR-182-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6881-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-122b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6823-5p	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0
hsa-miR-4536-5p	0	0	2	1	3	1	1	4	1	0	4	1	0	0	2	0	2	1	5	1	1	2
hsa-miR-6819-5p	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	2
hsa-miR-6741-5p	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	1
hsa-miR-1287-5p	67	112	190	173	241	146	155	140	370	280	156	216	17	65	32	29	43	23	58	37	101	119
hsa-miR-487a-5p	43	96	162	135	286	149	181	158	206	242	130	189	0	0	0	1	0	0	0	0	0	0
hsa-miR-487b-5p	0	15	23	14	38	15	30	14	27	21	6	23	0	0	0	0	0	0	1	0	0	0
hsa-miR-8064	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-501-5p	54	49	80	87	167	135	116	81	183	143	145	140	78	157	150	152	65	143	329	154	588	420
hsa-miR-6808-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6867-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	2	0	0	0	0	0
hsa-miR-297	2	0	0	2	2	2	9	9	2	13	0	1	1	8	1	9	6	8	28	0	5	2
hsa-miR-9986	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2
hsa-miR-134-5p	194	299	520	374	660	435	563	457	534	360	334	376	0	2	0	4	0	3	0	0	3	0
hsa-miR-6529-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0
hsa-miR-301b-3p	23	25	55	19	82	40	23	22	71	52	55	43	10	29	29	36	31	21	32	15	43	56
hsa-miR-563	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-556-5p	0	0	1	1	2	0	0	0	1	3	2	1	0	0	0	2	1	0	1	0	0	1
hsa-miR-152-5p	1	4	0	2	3	2	2	3	7	5	3	7	0	3	3	1	0	0	2	1	0	0
hsa-miR-657	0	0	0	0	0	3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-101-2-5p	0	0	3	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0
hsa-miR-6793-5p	1	0	0	0	2	1	2	2	0	3	4	1	0	8	0	5	0	2	4	0	2	3
hsa-miR-6753-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
hsa-miR-92a-1-5p	12	26	46	51	87	35	44	43	58	56	52	63	46	140	53	49	6	16	42	23	64	18
hsa-miR-3122	0	0	0	0	0	0	0	0	2	1	0	0	0	4	0	0	1	0	0	0	0	0
hsa-miR-876-3p	4	3	5	4	10	12	4	2	13	12	2	9	1	12	3	3	1	0	4	4	7	7
hsa-miR-1244	0	1	1	0	0	0	0	0	0	2	1	0	0	1	0	2	0	0	2	0	0	0
hsa-miR-670-3p	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	5	0	0	1
hsa-miR-4320	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0
hsa-miR-5003-3p	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0
hsa-miR-3182	1	0	5	2	0	3	7	3	1	0	1	3	0	1	0	6	1	2	0	0	3	0
hsa-miR-4716-5p	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	1	0	0	0	0	0	0
hsa-miR-7162-5p	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	4	1	0	0	0
hsa-miR-4315	0	0	2	0	0	0	0	1	2	1	0	1	0	0	1	1	0	0	2	1	0	0
hsa-miR-6071	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-4677-3p	14	12	68	33	43	47	53	38	31	34	35	42	15	35	28	55	23	26	49	27	58	82
hsa-miR-4693-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0
hsa-miR-4501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
hsa-miR-11401	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-7974	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	4	1	1	0
hsa-miR-6812-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-19b-3p	2421	1992	3276	1578	3241	2527	2528	2405	5285	2281	2647	2385	635	1858	960	1544	598	487	1578	910	1451	2146
hsa-miR-33a-5p	225	143	190	100	374	187	222	176	650	407	207	228	19	37	25	37	64	59	69	39	113	70
hsa-miR-1290	0	4	10	2	3	1	0	9	9	2	5	3	2	9	10	8	4	9	24	16	3	0
hsa-miR-515-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4746-3p	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3	2	0
hsa-miR-6762-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-372-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
hsa-miR-106a-5p	4492	4959	12723	9630	14671	6032	9731	9360	5952	4744	5232	5509	1357	3246	4952	3947	1745	1655	3039	1479	4594	7233
hsa-miR-663b	0	0	0	0	0	0	2	0	0	0	1	1	0	3	0	0	0	0	6	3	0	0
hsa-miR-4684-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-7108-5p	0	1	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4262	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6853-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
hsa-miR-8071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
hsa-miR-299-3p	554	583	1421	932	1305	745	1344	1301	1320	943	570	794	0	0	1	1	3	4	2	0	1	1
hsa-miR-3138	0	0	4	0	8	2	3	1	5	3	7	3	2	2	2	6	2	1	3	1	1	5
hsa-miR-6786-5p	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4507	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0
hsa-miR-6787-5p	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6772-5p	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3924	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	5	0	0	0
hsa-miR-586	0	2	2	2	1	0	0	0	0	4	1	0	3	2	6	2	3	2	3	0	0	1
hsa-miR-599	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	1	0	0	0	0
hsa-miR-6773-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-431-5p	363	469	1432	1226	1829	1041	1177	809	924	1023	679	992	0	0	5	2	1	0	0	0	0	5
hsa-miR-6774-3p	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3605-3p	18	18	35	30	85	51	37	31	71	86	48	59	4	17	10	17	3	8	24	12	35	8
hsa-miR-592	0	0	0	10	4	0	0	0	7	12	1	5	3	0	0	5	0	3	6	2	0	1
hsa-miR-6851-5p	0	0	1	0	0	0	1	1	3	5	0	3	1	1	0	1	0	0	0	1	0	2
hsa-miR-4999-5p	0	0	0	2	0	0	1	0	1	1	3	2	0	3	3	2	0	0	4	6	3	13
hsa-miR-6853-3p	0	1	1	0	0	0	0	2	0	2	3	0	0	0	0	0	0	0	4	0	0	0
hsa-miR-452-5p	1	11	93	52	21	8	4	3	49	77	5	5	2	0	1	1	3	0	4	1	1	0
hsa-miR-190a-5p	428	427	729	443	721	405	564	505	958	610	294	309	12	48	92	93	29	39	105	38	77	133
hsa-miR-9-5p	7567	9832	20514	16214	22435	10155	15721	14212	18722	20118	10634	12430	339	915	1838	1940	695	850	3142	1957	2989	4121
hsa-miR-6755-3p	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	1	6
hsa-miR-548ar-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
hsa-miR-582-3p	0	0	0	0	0	0	0	0	2	0	0	0	58	177	239	254	149	129	204	110	450	645
